season,week,nd_home,neutral_site,attendance,venue_capacity,attendance_rate,nd_points,opponent_points,point_margin,win
2020,8,0,0,5451,68400,0.08,45,3,42,1
2020,9,0,0,11000,55000,0.2,31,13,18,1
2021,1,0,0,68316,79560,0.859,41,38,3,1
2021,1,1,1,49550,65000,0.762,35,37,-2,0
2021,2,1,0,62009,80795,0.767,32,29,3,1
2021,3,1,0,74341,80795,0.92,27,13,14,1
2021,4,0,1,59571,61500,0.969,41,13,28,1
2021,5,1,0,77622,80795,0.961,13,24,-11,0
2021,6,0,0,65632,65632,1.0,32,29,3,1
2021,8,1,0,77622,80795,0.961,31,16,15,1
2021,9,1,0,71018,80795,0.879,44,34,10,1
2021,10,1,0,77096,80795,0.954,34,6,28,1
2021,11,0,0,48584,61500,0.79,28,3,25,1
2021,12,1,0,70011,80795,0.867,55,0,55,1
2021,13,0,0,31571,50424,0.626,45,14,31,1
2022,1,0,1,67383,67858,0.993,45,38,7,1
2022,1,0,0,106594,102780,1.037,10,21,-11,0
2022,2,1,0,77622,80795,0.961,21,26,-5,0
2022,3,1,0,77622,80795,0.961,24,17,7,1
2022,4,0,0,50500,51000,0.99,45,32,13,1
2022,6,1,1,62742,65000,0.965,28,20,8,1
2022,7,1,0,77622,80795,0.961,14,16,-2,0
2022,8,1,0,73165,80795,0.906,44,21,23,1
2022,9,0,0,49861,49057,1.016,41,24,17,1
2022,10,1,0,77622,80795,0.961,35,14,21,1
2022,11,0,1,62124,70745,0.878,35,32,3,1
2022,12,1,0,73503,80795,0.91,44,0,44,1
2022,13,0,0,72613,77500,0.937,27,38,-11,0
